tenant,role,manufacturer,device_type,status,site,name,serial,asset_tag,rack,position,face,airflow,location
讯网互联(吉闻),,,DL380 Gen10 Plus,active,青岛株洲路联通机房,,,,A08,18,,,
讯网互联(吉闻),,,DL380 Gen10 Plus,active,青岛株洲路联通机房,,,,A08,15,,,
讯网互联(吉闻),,,DL388 Gen9,active,青岛株洲路联通机房,,,,A08,3,,,
上合,网络设备,飞塔,FortiGate 201E,active,青岛株洲路联通机房,,YWZC防火墙1,FG201ETK20903964,A12,41,,,
上合,网络设备,中兴,ZXR10-C89E-4,active,青岛株洲路联通机房,,核心交换机1,210115228379,A12,30,,,
上合,网络设备,飞塔,FortiGate 201E,active,青岛株洲路联通机房,,YWZC防火墙2,FG201ETK20903960,A12,28,,,
上合,网络设备,中兴,ZXR10-C89E-4,active,青岛株洲路联通机房,,核心交换机2,210115228375,A12,17,,,
上合,网络设备,360,,active,青岛株洲路联通机房,,堡垒机,W12204001371,A12,15,,,
上合,业务设备,中兴,中兴R5300 G4,active,青岛株洲路联通机房,,YWZC服务器1,219349736564,A12,11,,,
上合,业务设备,中兴,中兴R5300 G4,active,青岛株洲路联通机房,,YWZC服务器2,219349736573,A12,7,,,
上合,业务设备,中兴,中兴R5300 G4,active,青岛株洲路联通机房,,YWZC服务器3,219349736568,A12,3,,,
上合,网络设备,中兴,中兴ZXR10,active,青岛株洲路联通机房,,交换机5960-HF,,A13,41,,,
上合,,,科博G10,active,青岛株洲路联通机房,,YWZC存储光交换机,EZL1952Q07B,A13,39,,,
上合,,,中兴R5300 G4,active,青岛株洲路联通机房,,YWZC服务器4,219349736565,A13,35,,,
上合,,,中兴R5300 G4,active,青岛株洲路联通机房,,YWZC服务器5,219349736571,A13,31,,,
上合,,,中兴R5300 G4,active,青岛株洲路联通机房,,YWZC服务器6,219349736567,A13,27,,,
上合,,,中兴R5300 G4,active,青岛株洲路联通机房,,YWZC服务器7,219349736576,A13,22,,,
上合,,,中兴R5300 G4,active,青岛株洲路联通机房,,YWZC服务器8,219349736574,A13,19,,,
上合,,,中兴R5300 G4,active,青岛株洲路联通机房,,YWZC服务器9,219349736575,A13,15,,,
上合,,,中兴R5300 G4,active,青岛株洲路联通机房,,YWZC服务器10,219349736572,A13,11,,,
上合,,,中兴R5300 G4,active,青岛株洲路联通机房,,YWZC服务器11,219349736578,A13,7,,,
上合,,,中兴R5300 G4,active,青岛株洲路联通机房,,YWZC服务器12,219349736570,A13,3,,,
上合,,,中兴ZXR10,active,青岛株洲路联通机房,,,,A14,41,,,
上合,,,科博G10,active,青岛株洲路联通机房,,YWZC存储光交换机2,EZL1902S02Y,A14,39,,,
上合,,,中兴R5300 G4,active,青岛株洲路联通机房,,YWZC服务器13,219349736569,A14,35,,,
上合,,,中兴R5300 G4,active,青岛株洲路联通机房,,YWZC服务器14,219349736577,A14,31,,,
上合,,,中兴R5300 G4,active,青岛株洲路联通机房,,YWZC服务器15,219349736566,A14,27,,,
上合,,,浪潮NF5280M5,active,青岛株洲路联通机房,,,24B103400,A14,23,,,
上合,,,浪潮NF5280M5,active,青岛株洲路联通机房,,,24B103410,A14,19,,,
上合,,,浪潮NF5280M5,active,青岛株洲路联通机房,,,24B103407,A14,16,,,
上合,,,浪潮NF5280M5,active,青岛株洲路联通机房,,,24B103398,A14,13,,,
上合,,,浪潮NF5280M5,active,青岛株洲路联通机房,,,24B103393,A14,10,,,
上合,,,中兴Zxcloud KJ2024,active,青岛株洲路联通机房,,YWZC存储硬盘柜,219351868510,A14,7,,,
上合,,,中兴Zxcloud KS3200,active,青岛株洲路联通机房,,YWZC存储,没找到sn,A14,3,,,
上合,,,360政企安全HT-8000-G4500,active,青岛株洲路联通机房,,CYK 防火墙2,2812035215007743,A15,41,,,
上合,,,中兴ZXR10,active,青岛株洲路联通机房,,CYK 核心交换机1,210115228369,A15,30,,,
上合,,,360政企安全HT-8000-G4500,active,青岛株洲路联通机房,,CYK 防火墙1,2812035215007945,A15,28,,,
上合,,,中兴ZXR10,active,青岛株洲路联通机房,,CYK 核心交换机2,210115228304,A15,17,,,
上合,,,中兴5260-S,active,青岛株洲路联通机房,,CYK 接入交换机1,291004145157,A15,15,,,
上合,,,中兴5260-S,active,青岛株洲路联通机房,,CYK 接入交换机2,291004145121,A15,13,,,
上合,,,中兴R5300,active,青岛株洲路联通机房,,CYK 服务器1,219349736590,A15,10,,,
上合,,,中兴R5300,active,青岛株洲路联通机房,,CYK 服务器2,219349736589,A15,7,,,
,,,RG-ES116G,,,,,,A15,5,,,
